z_m,sigma_Ohm_cm_inv,N_cm3
3.6361695353323467e-09,2031.1095490154298,3.9516195619267156e+20
3.6527634708669672e-09,2022.9893127362309,3.8990855745657425e+20
3.669357406401588e-09,2014.7716456836765,3.8469947034660215e+20
3.685951341936209e-09,2006.4576722362415,3.795310613152915e+20
3.7025452774708294e-09,1998.0474918920277,3.743994480189114e+20
3.71913921300545e-09,1989.5405919678908,3.693007481137303e+20
3.7357331485400705e-09,1980.935877966387,3.642310792560167e+20
3.752327084074691e-09,1972.231702271436,3.591865591020398e+20
3.768921019609312e-09,1963.425891288907,3.5416330530806766e+20
3.785514955143932e-09,1954.5157711459153,3.491574355303695e+20
3.802108890678553e-09,1945.4981920604305,3.441650674252134e+20
3.818702826213173e-09,1936.3695514910385,3.391823186488688e+20
3.835296761747794e-09,1927.1258161751773,3.342053068576037e+20
3.851890697282415e-09,1917.762543163068,3.292301497076872e+20
3.868484632817035e-09,1908.2748999536925,3.24252964855388e+20
3.885078568351656e-09,1898.6619685180185,3.192720766495787e+20
3.901672503886276e-09,1888.942274686138,3.142957816460763e+20
3.918266439420897e-09,1879.1406958562632,3.0933519202304754e+20
3.9348603749555174e-09,1869.2753113598421,3.044014201263059e+20
3.9514543104901384e-09,1859.3351399187998,2.995055783016638e+20
3.9680482460247594e-09,1849.3048297616174,2.946587788949345e+20
3.98464218155938e-09,1839.1732371122346,2.898721342519311e+20
4.0012361170940006e-09,1828.9342378454623,2.8515675671846627e+20
4.017830052628621e-09,1818.5874582934316,2.8052375864035338e+20
4.034423988163242e-09,1808.1389120580188,2.759842523634049e+20
4.051017923697862e-09,1797.6015305782944,2.7154935023343426e+20
4.067611859232483e-09,1786.995576235429,2.6723016459625392e+20
4.084205794767104e-09,1776.3489279504352,2.630378077976773e+20
4.100799730301724e-09,1765.696572963208,2.589831461111257e+20
4.117393665836345e-09,1755.0603319771542,2.5506950308019238e+20
4.133987601370965e-09,1744.4416911918672,2.512914361682853e+20
4.150581536905586e-09,1733.8417018822406,2.476430103622837e+20
4.167175472440207e-09,1723.2617776884126,2.4411829064906755e+20
4.183769407974827e-09,1712.7032849698437,2.4071134201551684e+20
4.200363343509448e-09,1702.167191422284,2.3741622944851096e+20
4.2169572790440685e-09,1691.6537665021563,2.3422701793493e+20
4.2335512145786895e-09,1681.1623276243272,2.3113777246165336e+20
4.25014515011331e-09,1670.6910264994642,2.281425580155612e+20
4.266739085647931e-09,1660.2366703561183,2.2523543958353284e+20
4.283333021182552e-09,1649.794573150447,2.2241048215244826e+20
4.299926956717172e-09,1639.358432202945,2.196617507091874e+20
4.316520892251793e-09,1628.9202260168329,2.169833102406297e+20
4.333114827786413e-09,1618.470129326758,2.1436922573365513e+20
4.349708763321034e-09,1607.9977318392982,2.1181356217514325e+20
4.366302698855654e-09,1597.498566743873,2.093103845519741e+20
4.382896634390275e-09,1586.968232404807,2.0685375785102714e+20
4.399490569924896e-09,1576.399195286183,2.0443774705918224e+20
4.416084505459516e-09,1565.7810532993333,2.0205641716331928e+20
4.432678440994137e-09,1555.1007798286798,1.9970383315031782e+20
4.449272376528757e-09,1544.3429432031915,1.9737406007467688e+20
4.465866312063378e-09,1533.4952738640688,1.950622986568173e+20
4.482460247597999e-09,1522.5630987488878,1.9276777185245564e+20
4.4990541831326195e-09,1511.5555994154465,1.904905926747379e+20
4.5156481186672405e-09,1500.4817374255454,1.8823087413680973e+20
4.532242054201861e-09,1489.3502556046315,1.8598872925181723e+20
4.548835989736482e-09,1478.1696793753922,1.8376427103290606e+20
4.565429925271102e-09,1466.9483181646474,1.815576124932223e+20
4.582023860805723e-09,1455.6942668828306,1.7936886664591173e+20
4.598617796340344e-09,1444.4154074753537,1.7719814650412034e+20
4.615211731874964e-09,1433.1194105451,1.75045565080994e+20
4.631805667409585e-09,1421.8137370452753,1.7291123538967842e+20
4.648399602944205e-09,1410.5056400418262,1.7079527044331982e+20
4.664993538478826e-09,1399.2021665445845,1.686977832550637e+20
4.681587474013446e-09,1387.9101594063059,1.6661888683805632e+20
4.698181409548067e-09,1376.636259288701,1.6455869420544324e+20
4.714775345082688e-09,1365.3869066945738,1.6251731837037055e+20
4.7313692806173084e-09,1354.1683440651204,1.6049487234598417e+20
4.747963216151929e-09,1342.9862416780659,1.5849146914542984e+20
4.7645571516865496e-09,1331.841505207097,1.565072217818536e+20
4.7811510872211706e-09,1320.7320780545244,1.5454224326840114e+20
4.797745022755791e-09,1309.6561181534175,1.5259664661821856e+20
4.814338958290412e-09,1298.6119031171588,1.506705187210718e+20
4.830932893825033e-09,1287.5960197524855,1.4876360991827493e+20
4.847526829359653e-09,1276.6038824858842,1.4687543672522033e+20
4.864120764894274e-09,1265.6310169008063,1.4500551093634358e+20
4.880714700428894e-09,1254.6730721349352,1.4315334434608053e+20
4.897308635963515e-09,1243.7258069247596,1.4131844874886672e+20
4.913902571498136e-09,1232.7850762391079,1.3950033593913788e+20
4.930496507032756e-09,1221.8468184728006,1.3769851771132984e+20
4.947090442567377e-09,1210.9070431722873,1.3591250585987808e+20
4.963684378101997e-09,1199.9618192658659,1.341418121792185e+20
4.980278313636618e-09,1189.0072637716921,1.3238594846378662e+20
4.9968722491712385e-09,1178.0395309574974,1.3064442650801827e+20
5.0134661847058595e-09,1167.0548019265325,1.2891675810634901e+20
5.0300601202404804e-09,1156.0492746048733,1.2720245505321463e+20
5.046654055775101e-09,1145.019154105823,1.255010291430509e+20
5.063247991309722e-09,1133.9606434477048,1.2381199217029333e+20
5.079841926844342e-09,1122.8699346019134,1.2213485592937778e+20
5.096435862378963e-09,1111.7431998485856,1.2046913221473983e+20
5.113029797913583e-09,1100.5765834178137,1.1881433282081528e+20
5.129623733448204e-09,1089.3661933947587,1.171699695420397e+20
5.146217668982825e-09,1078.1080938675489,1.1553555417284885e+20
5.162811604517445e-09,1066.7982972972527,1.139105985076785e+20
5.179405540052066e-09,1055.4327570896687,1.1229461434096419e+20
5.195999475586686e-09,1044.0073603490914,1.1068711346714177e+20
5.212593411121307e-09,1032.517920794579,1.090876076806468e+20
5.229187346655928e-09,1020.9617883147786,1.0749573731260901e+20
5.245781282190548e-09,1009.3466217630163,1.0591193434490737e+20
5.262375217725169e-09,997.6842135552644,1.0433693189496804e+20
5.2789691532597895e-09,985.9864121508101,1.0277146366594815e+20
5.2955630887944105e-09,974.2650901601585,1.0121626336100449e+20
5.312157024329031e-09,962.5321231875961,9.967206468329421e+19
5.328750959863652e-09,950.7993692465794,9.813960133597407e+19
5.345344895398273e-09,939.0786488055504,9.66196070222012e+19
5.361938830932893e-09,927.3817255197962,9.511281544513257e+19
5.378532766467514e-09,915.7202877029905,9.361996030792504e+19
5.395126702002134e-09,904.1059305898502,9.214177531373573e+19
5.411720637536755e-09,892.5501394390392,9.06789941657214e+19
5.428314573071375e-09,881.0642735230604,8.923235056703922e+19
5.444908508605996e-09,869.6595510492718,8.7802578220846e+19
5.461502444140617e-09,858.3470350535398,8.63904108302988e+19
5.478096379675237e-09,847.1376202531637,8.499658209855463e+19
5.494690315209858e-09,836.0418217340798,8.362182572877033e+19
5.511284250744478e-09,825.069343062264,8.2266875424103e+19
5.527878186279099e-09,814.2296334471354,8.093246488770948e+19
5.54447212181372e-09,803.5320192654291,7.961932782274681e+19
5.5610660573483405e-09,792.98569792313,7.832819793237202e+19
5.5776599928829615e-09,782.5997324724381,7.70598089197419e+19
5.594253928417582e-09,772.3830469941472,7.581489448801365e+19
5.610847863952203e-09,762.3444227532451,7.459418834034401e+19
5.627441799486823e-09,752.4924951328918,7.339842417989012e+19
5.644035735021444e-09,742.8357513491621,7.222833570980884e+19
5.660629670556065e-09,733.382528946135,7.1084656633257165e+19
5.677223606090685e-09,724.1400361220595,6.996800245490522e+19
5.693817541625306e-09,715.1086145683024,6.887817923902378e+19
5.710411477159926e-09,706.2856112492642,6.7814653910881575e+19
5.727005412694547e-09,697.6681850786534,6.677689224224837e+19
5.743599348229167e-09,689.2533306545153,6.57643600048941e+19
5.760193283763788e-09,681.037891558336,6.47765229705886e+19
5.776787219298409e-09,673.0185728038466,6.381284691110174e+19
5.7933811548330294e-09,665.1919524783925,6.287279759820345e+19
5.8099750903676504e-09,657.5544926181963,6.19558408036635e+19
5.826569025902271e-09,650.1025493573535,6.106144229925184e+19
5.8431629614368916e-09,642.8323823889195,6.018906785673829e+19
5.8597568969715126e-09,635.7401637750287,5.933818324789272e+19
5.876350832506133e-09,628.8219861415737,5.850825424448507e+19
5.892944768040754e-09,622.0738702916088,5.769874661828509e+19
5.909538703575374e-09,615.4917722703246,5.690912614106277e+19
5.926132639109995e-09,609.0715898108908,5.613885858458787e+19
5.942726574644615e-09,602.8087203981215,5.538740972063035e+19
5.959320510179236e-09,596.6971533412634,5.465424532096e+19
5.975914445713857e-09,590.730814975396,5.393883115734673e+19
5.992508381248477e-09,584.9038686104482,5.324063300156042e+19
6.009102316783098e-09,579.2106882481908,5.2559116625370915e+19
6.025696252317718e-09,573.6458343631768,5.1893747800548114e+19
6.042290187852339e-09,568.2040316131101,5.124399229886181e+19
6.0588841233869595e-09,562.8801483500956,5.0609315892082e+19
6.0754780589215805e-09,557.6691778099804,4.9989184351978406e+19
6.0920719944562015e-09,552.5662208626004,4.9383063450321e+19
6.108665929990822e-09,547.566470211103,4.879041895887963e+19
6.125259865525443e-09,542.66519593375,4.821071664942412e+19
6.141853801060063e-09,537.857732266586,4.764342229372441e+19
6.158447736594684e-09,533.1394655301876,4.708800166355031e+19
6.175041672129304e-09,528.5058231083348,4.6543920530671714e+19
